X,Y_c,Z,Al,Si,S,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Y,Sr,Zr,Pb,Rb,Bi,U,Co,La,Ce,maxElement,minElement,maxValue,minValue
0.7,7.399,0,23.8369,9.9115,0.0,1.9188,17.1267,0.2463,0.0309,0.824,1.4064,0.0,0.0,0.0165,0.0256,0.0539,0.0314,0.0805,0.0276,0.0,0.0266,0.0648,0.0189,0.0,0.0171,Al,S,23.8369,0.0
0.8,7.399,0,15.6981,4.2184,0.0,1.983,17.9304,0.2931,0.0456,0.9344,1.6265,0.0343,0.0,0.0125,0.0,0.0172,0.0734,0.0503,0.0327,0.0243,0.0316,0.2352,0.0112,0.0,0.0384,Ca,S,17.9304,0.0
0.9,7.399,0,8.1241,9.225,0.0,2.0884,19.0696,0.3026,0.038,1.0117,1.7011,0.0309,0.0,0.0225,0.0113,0.0124,0.0386,0.0723,0.0378,0.0194,0.074,0.0,0.0149,0.0,0.0363,Ca,S,19.0696,0.0
1.0,7.399,0,13.2234,7.4198,0.0,2.1177,18.119,0.2817,0.0465,0.949,1.5898,0.0088,0.0,0.0294,0.0,0.014,0.0336,0.0164,0.0329,0.0121,0.0,0.0979,0.0135,0.0,0.0079,Ca,S,18.119,0.0
1.1,7.399,0,25.8957,5.7622,0.0,2.1744,17.3256,0.2174,0.0395,0.8256,1.5405,0.0175,0.0032,0.0183,0.0241,0.0025,0.0555,0.0454,0.0,0.035,0.0,0.1672,0.0003,0.0,0.0025,Al,S,25.8957,0.0
1.2,7.399,0,6.3694,4.5815,0.0,2.0752,18.8474,0.2887,0.0776,1.0079,2.0295,0.0082,0.0,0.0329,0.0408,0.0227,0.0667,0.1531,0.0,0.0306,0.0465,0.0,0.0056,0.0,0.0,Ca,S,18.8474,0.0
1.3,7.399,0,11.1165,7.1224,0.0,2.0719,18.7974,0.3812,0.0499,0.9882,1.7366,0.0,0.0,0.0311,0.0261,0.0227,0.0647,0.0915,0.0321,0.0218,0.0153,0.3043,0.0141,0.0108,0.0,Ca,S,18.7974,0.0
1.4,7.399,0,33.6836,11.8397,0.1095,2.1456,17.7596,0.3246,0.0448,0.8017,1.3102,0.0,0.0,0.0131,0.0286,0.0585,0.0437,0.0483,0.0,0.0138,0.0339,0.1158,0.0023,0.0,0.0157,Al,Ni,33.6836,0.0
1.5,7.399,0,17.2043,7.7076,0.0,2.3958,17.7206,0.3071,0.0496,0.9237,1.6524,0.0088,0.0,0.0,0.0029,0.0,0.0283,0.0662,0.0445,0.0168,0.0,0.2221,0.0071,0.0,0.0143,Ca,S,17.7206,0.0
1.6,7.399,0,20.1514,13.0744,0.0,2.6546,17.2023,0.2071,0.0556,0.8488,1.3926,0.0,0.0,0.0126,0.0,0.0349,0.0277,0.0716,0.0781,0.0156,0.0564,0.1486,0.0059,0.0274,0.0064,Al,S,20.1514,0.0
1.7,7.399,0,0.0,8.9489,0.0,2.1755,19.0467,0.2395,0.0525,1.2107,1.7424,0.0,0.0,0.0237,0.0,0.0475,0.0249,0.0209,0.0819,0.0314,0.0658,0.314,0.0052,0.0,0.0,Ca,Al,19.0467,0.0
1.8,7.399,0,1.7649,6.0704,0.0,1.805,18.9699,0.2786,0.0556,1.1764,1.8713,0.0256,0.0254,0.0133,0.0,0.0372,0.0278,0.1363,0.0791,0.0356,0.0,0.2192,0.0115,0.0,0.0123,Ca,S,18.9699,0.0
1.9,7.399,0,6.4668,10.2852,0.0089,2.0006,17.771,0.4764,0.0622,1.0098,1.6352,0.0145,0.0056,0.0451,0.029,0.0346,0.0493,0.0958,0.0,0.0321,0.117,0.2532,0.0173,0.0454,0.0275,Ca,Pb,17.771,0.0
2.0,7.399,0,37.9603,10.9366,0.028,1.8842,16.5805,0.551,0.0379,0.6736,1.1885,0.0,0.0,0.0069,0.0,0.0342,0.0215,0.0611,0.0363,0.0,0.0324,0.0,0.0046,0.0,0.0,Al,Ni,37.9603,0.0
2.1,7.399,0,23.9791,11.1447,0.0665,1.9822,18.014,0.4966,0.0507,0.771,1.3126,0.0058,0.0,0.026,0.0,0.0352,0.0667,0.0831,0.0458,0.0049,0.0,0.0232,0.0104,0.021,0.0,Al,Cu,23.9791,0.0
2.2,7.399,0,17.3431,14.7442,0.0,2.0355,19.3559,0.2288,0.0712,0.7395,1.3238,0.0075,0.0,0.0147,0.0075,0.0676,0.1046,0.0319,0.0448,0.0,0.0,0.1584,0.0089,0.0133,0.0145,Ca,S,19.3559,0.0
2.3,7.399,0,0.0,4.2924,0.0903,1.8856,21.7044,0.2943,0.0498,1.3396,2.1985,0.0105,0.0,0.0635,0.0323,0.0529,0.0993,0.0692,0.043,0.0665,0.1162,0.5738,0.0261,0.0,0.0,Ca,Al,21.7044,0.0
2.4,7.399,0,33.1738,0.0,0.0,1.8556,19.2185,0.2007,0.0453,0.8869,1.3013,0.0051,0.0,0.0207,0.0,0.0119,0.1076,0.0425,0.0178,0.036,0.0461,0.1996,0.0023,0.0,0.0,Al,Si,33.1738,0.0
2.5,7.399,0,43.0034,12.1218,0.0,1.6709,18.7812,0.1839,0.0392,0.7158,1.0534,0.0193,0.0101,0.0174,0.0,0.0573,0.0683,0.0826,0.053,0.0,0.0,0.2202,0.0025,0.0,0.0,Al,S,43.0034,0.0
2.6,7.399,0,18.8754,9.8836,0.0,1.8383,19.4559,0.2308,0.0565,0.8951,1.2562,0.0,0.0,0.0179,0.0,0.0497,0.0057,0.1108,0.0,0.0,0.0453,0.0363,0.0062,0.0131,0.0024,Ca,S,19.4559,0.0
2.7,7.399,0,0.0,6.8671,0.0,1.6348,22.4122,0.2617,0.056,1.4198,1.6606,0.0258,0.0,0.0287,0.0,0.0363,0.1621,0.0,0.0534,0.0794,0.0,0.1848,0.0059,0.0,0.0,Ca,Al,22.4122,0.0
